family,doc_state,notes,updated,engines,sid_count
sidtracker64,OK,"research-player sweep complete (2026-06-14). SidTracker64 = modern iOS/iPad tracker by Daniel Larsson (Pernod), 2015 (last app update v1.0.5 Oct 2019). 259 HVSC SIDs, all PSID v2, 86% 8580+PAL. Closed-source app -> TARGET = the 6502 player + song data in the .SID EXPORT (not the .s64 authoring format). NO public source/spec; structure recovered from byte-stable HVSC inspection. PLAYER: init=load_addr (3-byte JMP trampoline), play=load_addr+$0003; player code 1930-2258 bytes across ~14 size-variants = APP VERSIONS (version detectable by code size); work area ~$6A bytes after code, then static tables; relocation (user load addr) added v1.0.5 - same code relocated. SMC per-song slots: $105F tempo, $107D orderlist-len, $101D filter mode, $101F/$1D filter routing. WRITE MODEL per play(): voice-writer x3 (X=0,7,14)->$D400-06; $D415/16 filter; $D417 routing; $D418=$0F|vol; tempo counter->step advance; per-voice duration countdown. Sidid sig 29 FE 9D 04 D4 = AND #$FE gate-clear hard-restart; 18 69 = glide ADC #$44/page-advance/note-step. PATTERN: $00-7F duration ticks, $80-FF note+instrument (2-3B), 128-byte page boundary w/ loop marker; orderlist 8 parallel lo/hi tables. FEATURES: 32 instruments (ADSR+wavetable+pulse+filter tables+vibrato+PWM sweep), 8 waveforms, sync/ring/hard-restart, arp=wavetable hi-freq mode; patterns 3 voices + 1 FX TRACK (per-step vol/filter/BPM); per-step glide/sustain/vibrato/tie. **TIMING: BPM-based, player ALWAYS sets CIA Timer A even when PSID speed=VBI; 47% carry CIA flag but CIA used internally in all -> plan --writelog-per-irq verdict family-wide (BPM != 50Hz).** Migration first step: disassemble canonical $1000 export for work-area/freq-table/instrument-block/wavetable encodings + the FX-track stream. Cleared to start disassembly. See pipelines/sidtracker64/docs/README.md.",2026-06-14,"[""SidTracker64""]",266
sidwinder,OK,"research-player sweep complete (2026-06-17). GRAIL RECOVERED: full V01.23 GPL source archive (zimmers.net SIDwinder_V0123_src.zip) fetched + committed under pipelines/sidwinder/docs/src/ -- PLAYER.ASM (V01.23), PLAY0122.ASM (V01.22 for diff), PACKER.ASM (packer/relocator = the PACKED on-disk format HVSC tunes use), ED.ASM (editor/in-memory format), SIDR/VIEWER.ASM, + SIDW0122.txt manual + SUMMARY/GENERAL/PROGRAMM docs. No format parser exists in any other tool (SF2/CheeseCutter/GT/libsidplayfp/VICE -- only the sidid label). Engine: Taki/Natural Beat 1994, V01.22 public 1999, V01.23 GPL 2000-03-15 (Plus/4 port by Levente Harsfalvi/TLC). 117 HVSC SIDs, single sidid signature (no version split). Format: 3-voice PAL VBI-driven (speed=0), multispeed to 16x, entry $1000/$1003/$1006, 32 subtunes/96 sectors/64 instruments, 7-byte instruments + 4 effect tables (wave-arp/filter/PW/slide-vib; $FF jump, $FE drum), hard-restart per note/sector, glide=absolute-freq quirk. Name collision: Raistlin/Genesis 'SIDwinder' 2025 = unrelated modern analyzer (flagged). Cleared to disassemble. KEY OPEN (RE-phase, no more online needed): packed-format byte map from PACKER.ASM; V01.22-vs-V01.23 player diff; per-version axis confirm across 117 SIDs. See pipelines/sidwinder/docs/README.md.",2026-06-17,"[""SidWinder""]",118
sidwizard,OK,"research-player sweep complete (2026-06-13): fully open source (player.asm/exporter.asm/SWM-spec.src/ChangeLog) + 27pp manual + version history + 4 decoded HVSC binaries. Exported layout, per-frame write model (V3->V2->V1, ghost vs lean SIDG=SID), version deltas (config knobs hr_adsr_order/init_writes_d418/driver_variant), CIA-vs-vblank (mostly vblank -> flat Mode-1) all captured. Scope: 1010 1SID tunes; exclude 38 multi-SID (psid_version>=3). KEY OPEN: pointer-table offset map per (version,drivertype). Cleared to start disassembly; canary Hermit/Magyar_Nepzenek.sid. See pipelines/sidwizard/docs/README.md.",2026-06-13,"[""Hermit/SidWizard_V1.x""]",1126
soedesoft,OK,"research-player sweep complete (2026-06-13, gather-only/sonnet). CLOSED engine (Jeroen+Michiel Soede, Fire-Eagle, NL 1988-89; no public source). Translated German V3.1 manual gives the song-data model (Song->Block->Step->Bar; sound parts; arp/wave/pulse/filter effects); version taxonomy (V1.0=editor, V3.1 public, V3.2 Fire-Eagle-internal; V2.x gap); census (929, 8 init/play clusters, $6000 V3.1 batch=309, all PSID v2 VBlank). Byte-level layout OPEN -> RE during migration (JC64dis SoundMaster1.dis profile = bootstrap). Cleared to start. See pipelines/soedesoft/docs/README.md.",2026-06-13,"[""SoedeSoft""]",951
soundmonitor,OK,"research-player sweep complete (2026-06-13): original 64'er 10/1986 type-in article + 24-register sound-parameter table recovered (archive.org full OCR); local JC64dis hand-annotated disassembly decoded (compiled replayer layout, 64-byte sound records, per-frame write model); variant taxonomy mapped (Soundmonitor V1.0/1.1/1.3, Rockmonitor digi, ~20 sidid sub-variants); CIA-timed (writelog-per-irq verdict). Cleared to start disassembly. See pipelines/soundmonitor/docs/README.md.",2026-06-13,"[""Soundmonitor""]",3682
sync,LITTLE,single research.md first-pass overview; research-engine sweep not yet run.,2026-06-13,"[""SynC""]",108
system6581,LITTLE,single research.md first-pass overview; research-engine sweep not yet run.,2026-06-13,"[""System6581""]",104
tfx,OK,"research-player sweep complete (2026-06-14). TFX editor by Lada 'Ray' Lostak / Unreal (CZECH not Polish; UI by PseudoGrafx; later fixes/docs Jaymz Julian), 1995-2005. 269 HVSC SIDs, all PSID v2. BEST-SOURCED family yet: recovered the ACTUAL player source (src/Player-v2.99.ass, signed Ray/Unreal), full v2.99 manual, key-guide, changelog, AND a PC unpacker (src/hyperPacker-v2.99.c) exposing the on-disk layout - all from official Tfx_2_99.zip (unreal64.net). KEY: TFX DESCENDS FROM DMC (Ray confirmed; 1996 DMC->TFX converter) -> leverage pipelines/dmc/ (already OK). LAYOUT ($1000 base, v2.x): 9-byte 3x JMP (init $10FA/play $1003/SFX $1914), version+title string $1009-37, freq lo $103A hi $109A (96B each), 8-byte subtune descriptors ~$1BCF, patterns follow; 8KB image $1000-2FFF. WRITE MODEL per voice: SR->AD->ctrl->PWhi->PWlo->freqhi->freqlo then $D418/$D416/$D417. PATTERN bytes: $00-5F note, $60-7F sec-speed, $80-BF duration, $C0-CF ADSR, $D0-ED instr/event, $EE vib, $EF glide, $F1-FF global fx. FEATURES (manual): sector seq <=80 sectors/5 subsongs; 8-byte instruments <=32; wave(2B: NRM/SHI/SHL/RHI/RHL/HRD), pulse(SAC 16-bit v2.99, SPL split v2.97), filter(all 11 bits v2.98+) tables; 6 table vars; multispeed 1-12x/72x-per-ch + $1003/$1006 split; ~20 sector effects (GLIDE/SLIDE/RLEN hard-restart-len/CTRL/FADE...). SIDID single sig all versions. Version split: V1.x (play=$1100, freq table @ $1000, DIFFERENT map - Group B/E2, ~36 SIDs) vs V2.x (play=$1003, manual layout). v2.94 anomaly: 32-entry lo-table + 36B dispatch block. CIA multispeed subset (Timer-A + frame-skip DEC) -> --writelog-per-irq. Migration first step: disassemble canonical $1000 v2.x tune to bind Player.ass/hyperPacker.c offsets; then map v1.x layout (no v1.x manual exists). Cleared to start disassembly. See pipelines/tfx/docs/README.md.",2026-06-14,"[""TFX""]",270
ubiks_musik,OK,"research-player sweep complete (2026-06-14). Ubik's Musik (Dave Korn/Ubik, Firebird, 1987, COMMERCIAL). 288 HVSC SIDs, all PSID v2 / VBI / speed=0 (zero CIA). NO public source/disassembly, but player is byte-stable -> structure recovered from corpus analysis (annotated $C600-$CF40 disasm of Fire_Breath.sid saved in src/). LAYOUT ($C600 base, ~7KB): init $C600 (ADC #$80 active-flag + subtune 0-25 in A + zero $D400-1F); play $C603 -> JSR $C666 (main body / multi-song select; PRG2SID detect target). Stable regions: $C666-71A main loop, $C824-CDFF effects, drum table $CF00. KEY DISPATCH QUIRK: ONE SID voice per play() via self-modifying LDX at $C672 (voice ctr 2->1->0) = the 'high rastertime' cause; 3-voice frame spans 3 IRQs -> confirm Mode-1 vs --writelog-per-irq verdict. WRITE MODEL: voice order 2->1->0; normal frame=vibrato(freq)+PWM(PW) then $D418/$D416/$D417; note-start=gateclear/$D406 SR/$D405 AD/$D403-2 PW/$D404 ctrl|gate/$D400-1 freq. EFFECTS: log vibrato (delta=freq(n)-freq(n-1semi), auto pitch-scaled), PWM triangle sweep, ECHO=sustain-level staircase per NOTE (not delay line, $D406 at trigger), waveform swap (table $C507), wavetable drums (8 fixed, $CF00, 2/3-byte entries, $FF end). Seq cmds $F3 nn=tempo, $FF=end. SFX API at $C68F. SIDID single sig, no sub-versions; address variety = relocation of ONE player (canonical $C600/$C603=120, $C666 family ~70, fully relocated ~62). $D415 maybe unused. Used in many Firebird games (Thrust II, Joe Blade 2, Tim Follin Agent X II). Migration first step: disassemble canonical tune for instrument-table/note-encoding/song-pointer/drum-offset byte layout. Cleared to start disassembly. See pipelines/ubiks_musik/docs/README.md.",2026-06-14,"[""Ubik's_Musik""]",293
vibrants_jo,OK,"research-player sweep complete (2026-06-16, 4 parallel sonnet agents + orchestrator). Engine = custom C64 player by Poul-Jesper Olsen ('JO'), handles Rock/Technic, Amok/Vibrants, DENMARK. 130 HVSC SIDs: 102 in MUSICIANS/J/JO/, 24 in MUSICIANS/H/HJE/ (Hans Juergen Ehrentraut), 4 in MUSICIANS/D/DRAX/Worktunes/. Active C64 period ~1988-1992; he also wrote custom AdLib + Amiga + Roland MT-32 + MS-DOS players. CENTRAL FINDING: NO public source or disassembly found. JO composed 'in an assembler listing' (no editor released, hand-assembled binary per tune). The sidid fingerprint (10 OR-combined patterns) is the only machine-readable format knowledge. Player is DISTINCT from JCH NewPlayer family: JO invented hard-restart (ADSR gate-off via test-bit) which JCH copied into NewPlayer v11. All 130 SIDs are VBL/50Hz (speed=0), no CIA tunes. Player is relocatable; wide load address spread (/bin/bash800-). ARCHITECTURE (from sidid decode): 3-voice loop X=2..0; ZP pointer + Y-walk for data streams (BC/B1 pairs); sentinel-terminated note streams (0, 0, , , ); instrument select byte >=  (index=(byte-)*8, 8-byte records); gate-off = AD=0 SR=0 Ctrl=/bin/bash8 (test bit); CLC+ADC freq delta (glide/vibrato); ZP voice state 0-A (58 bytes from Grid.sid init); init resets all ZP + SID registers + sets master vol F. Multi-subtune dispatch confirmed (up to 7 subtunes). NOTE ENCODING HYPOTHESIS: <0=raw note index, 0=gate sentinel, +=instrument select, =block end, =sequence end/loop. NO HJE or DRAX variants detected by sidid - all use identical fingerprint. LAYOUT: init at load or load+3/6; play = init+3 or init+6 (JMP dispatch table at top of binary); data/instr tables between dispatch and engine code; engine code often at HIGH end (Amok_Title pattern); code size 635-6705B avg ~2966B. EXCLUSIONS from JO/ dir: JO_goes_Myth=MoN/Bjerregaard, Multi_Move=MoN/FutureComposer (migrated), Grid=unclassified. LEADS: seed_disassembly.py target Airwolf_Theme.sid (2769B, Cluster A, canonical) or Grid.sid (635B, stripped minimum). play=25c cluster (Gamlere/Gamlest/Rob_Lam_Fejl) has fixed play address - good 3-tune sanity set. First_Digi (play=/bin/bash000) needs special digi handling. High-memory tunes (-) need banking audit. See pipelines/vibrants_jo/docs/README.md.",2026-06-16,"[""Vibrants/JO""]",132
vibrants_laxity,OK,"research-player sweep complete (2026-06-15, 6 parallel agents). Engine = the ORIGINAL Laxity Editor player by Thomas Egeskov Petersen ('Laxity', Vibrants/Maniacs of Noise); 179 HVSC SIDs. Composed directly in a m/c monitor from ~1987; ancestor of the entire JCH NewPlayer line (v5..v21) and thence SID Factory II. CENTRAL FINDING: the original player was NEVER published as source (hand-distributed in Turbo Assembler form) - confirmed by all 6 agents. It survives only as (a) HVSC binaries [RE=migration phase], (b) its 5-line SIDId signature [decoded], (c) JCH's first-hand testimony that NewPlayer's pulse/filter step-table system is 'the same system as used in LAXITY's player' -> the well-documented JCH/CheeseCutter format is our best PROXY (caveat: JCH redesigned the instrument byte layout v14->v15->v20), and (d) 6 authentic original-format .DAT files JCH composed in Laxity's player in 1988 (preserved at docs/src/laxity_orig_dat/ - the closest ground-truth binary; the .SID siblings are CSDb text stubs). WRITE MODEL confirmed from signature: freq write is HI-before-LO ($D401,Y then $D400,Y), voice stride Y in {0,7,14}; note index ASL-doubled into word-aligned freq table; slide = ADC abs,X accumulator; $D404,Y ctrl/gate per voice; $D416 filter-cutoff-hi sweep with BIT/BVS direction-flip; duration = count-up INC abs,X + 4 nested DEC/BPL counters per voice (NOT Hubbard's single DEC); play entry init+$06; pulse-width ($D402/03) ABSENT from signature (open Q: does original have PW at all?). FORMAT (JCH/CheeseCutter proxy): 8-byte instruments (AD,SR, then version-dependent: hifreq+HR+arp-speed etc), 2-column wave table, 4-byte pointer-chained pulse/filter step tables, 2-byte sequence pairs (note+cmd, $7E tie/$FF end), 2-byte orderlist words [transpose][seq#] with $FF loop/$FE stop. Have authoritative parsers: SF2 C++ (docs/src/sf2_*.cpp), CheeseCutter player_v4.acme (NP21.G4-based per-frame oracle), Glover NP21.G4/G5 6502 source, JCH's own NP15/NP20 manuals + 96KB ED37 editor source. RELATED/DISTINCT: Vibrants/JO (130 SIDs) = Poul-Jesper Olsen, separate engine (own pipeline); JCH_OldPlayer (32 SIDs) = JCH composing in Laxity's FORMAT - likely same player binary, different data (verify in migration). Migration first step: decode docs/src/laxity_orig_dat/*.DAT + disassemble one HVSC tune (e.g. Laxity/Fast_Stuff_1.sid) with seed_disassembly.py. Cleared to start disassembly. See pipelines/vibrants_laxity/docs/README.md.",2026-06-15,"[""Vibrants/Laxity""]",179
xample,OK,"research-player sweep complete (2026-06-13, gather-only/sonnet). X-Ample/Compotech (Markus Schneider et al., X-Ample Architectures, Germany 1988-97; 380 HVSC tunes). Closed, BUT an annotated V3.2 TurboAss player source ships on the Compotech V2.1 D64 (CSDb #122614) -> player architecture + effect set captured (VBI, 3-voice bitmask, +7 stride; vibrato/glide/arp/drum/pulse/filter/echo/tremolo/fade/velocity). Lineage: Schneider driver -> Parsec V5.1 -> Compotech V1/V2.1; XTracker (V3.1/V4.1x/V4.2x) by SoNiC (separate author; V3.1 player byte-identical to V2.1) -> likely ONE data format + per-variant write-quirk flags. X-Ample_Digi = CIA2-NMI sample (Mode-2, out of scope; 0 confirmed in HVSC). Reflextracker is a DIFFERENT engine (not X-Ample). Census: layouts A(192)+B(118) ~82%, likely same player w/ flipped header. Song-data byte layout OPEN -> RE during migration. Cleared to start. See pipelines/xample/docs/README.md.",2026-06-13,"[""X-Ample""]",387
